sample_type	rarity	host_associated	description
Amnoitic fluid	Rare	1	NA
BAL	Uncommon	1	NA
Bedding	Uncommon	0	NA
Biofilm	Rare	1	NA
Bioreactor	Uncommon	0	NA
Blank swab	Common	0	Swab taken out of packaging in sequencing lab immediately before extraction.
Blood	Uncommon	1	NA
Breast milk	Rare	1	NA
Buffer	Uncommon	0	NA
Cecum	Uncommon	1	NA
Cell lysate	Uncommon	1	NA
Cervical swab	Rare	1	NA
Cheek swab	Uncommon	1	NA
Crop	Rare	1	NA
Dental plaque	Uncommon	1	NA
Duodenum	Rare	1	NA
Dust	Uncommon	0	NA
Elution buffer	Common	0	NA
Empty well	Common	0	NA
Endometrial swab	Rare	1	NA
Environmental control	Common	0	Includes Air swab, Environmental swab, Environmental blank
Esophageal biopsy	Rare	1	NA
Esophagus	Rare	1	NA
Feces	Common	1	Human and animal fecal material.
Feed	Uncommon	0	NA
Fistula	Common	1	NA
Fistula swab	Uncommon	1	NA
Fly food	Rare	0	NA
Fruit fly	Rare	1	NA
Ileostomy fluid	Uncommon	1	NA
Ileum	Uncommon	1	NA
Kveim reagent	Uncommon	0	NA
Lab water	Uncommon	0	NA
Macular Retina	Rare	1	NA
Meconium	Rare	1	NA
Medium	Rare	0	NA
Microbial culture	Common	0	NA
Mock DNA	Common	0	NA
Mouse chow	Rare	0	NA
Nasal swab	Common	1	NA
Nasopharyngeal swab	Uncommon	1	NA
Oral swab	Common	1	NA
Oral wash	Uncommon	1	NA
Oropharyngeal swab	Uncommon	1	NA
Ostomy fluid	Uncommon	1	NA
Pancreatic fluid	Rare	1	NA
PCR water	Uncommon	0	NA
Peripheral retina	Rare	1	NA
Placenta	Rare	1	NA
Plasma	Uncommon	1	NA
Rectal biopsy	Common	1	NA
Rectal swab	Common	1	We have observed that results are sensitive to exact collection method employed, please include notes in publication.
Saline	Uncommon	0	NA
Saliva	Uncommon	1	NA
Sediment	Uncommon	0	NA
Serum	Uncommon	1	NA
Skin swab	Common	1	NA
Small intestine	Uncommon	1	NA
Soil	Rare	1	NA
Sputum	Common	1	NA
Surface swab	Common	0	NA
Tongue swab	Common	1	NA
Tonsil	Rare	1	NA
Tracheal aspirate	Common	1	NA
Tracheal control	Uncommon	1	NA
Urethral swab	Rare	1	NA
Urine	Uncommon	1	NA
Water	Uncommon	0	NA
Weighing paper	Common	0	NA
Whole gut	Uncommon	1	From dissection.
Large intestine mucosa	Common	1	"NA"
Large intestine lumen	Common	1	"NA"
